date,caudal_santodomingo_m3s,volumen_santodomingo_mmc
1934-01-01,23.258,62.29
1934-02-01,25.5,61.69
1934-03-01,83.516,223.69
1934-04-01,32.25,83.59
1934-05-01,9.206,24.66
1934-06-01,7.5,19.44
1934-07-01,5.632,15.08
1934-08-01,4.226,11.32
1934-09-01,3.979,10.31
1934-10-01,5.639,15.1
1934-11-01,6.43,16.67
1934-12-01,5.994,16.05
1935-01-01,13.006,34.84
1935-02-01,20.643,49.94
1935-03-01,78.484,210.21
1935-04-01,29.5,76.46
1935-05-01,10.074,26.98
1935-06-01,6.0,15.55
1935-07-01,5.297,14.19
1935-08-01,4.584,12.28
1935-09-01,4.767,12.36
1935-10-01,5.134,13.75
1935-11-01,6.087,15.78
1935-12-01,15.323,41.04
1936-01-01,42.903,114.91
1936-02-01,37.0,92.71
1936-03-01,24.806,66.44
1936-04-01,13.117,34.0
1936-05-01,7.403,19.83
1936-06-01,6.527,16.92
1936-07-01,4.335,11.61
1936-08-01,4.301,11.52
1936-09-01,4.946,12.82
1936-10-01,5.248,14.06
1936-11-01,4.947,12.82
1936-12-01,4.99,13.37
1937-01-01,8.394,22.48
1937-02-01,12.571,30.41
1937-03-01,25.645,68.69
1937-04-01,10.553,27.35
1937-05-01,4.768,12.77
1937-06-01,3.617,9.38
1937-07-01,2.535,6.79
1937-08-01,4.429,11.86
1937-09-01,6.38,16.54
1937-10-01,6.048,16.2
1937-11-01,8.827,22.88
1937-12-01,13.226,35.42
1938-01-01,14.935,40.0
1938-02-01,43.804,105.97
1938-03-01,31.79,85.15
1938-04-01,29.95,77.63
1938-05-01,12.113,32.44
1938-06-01,8.773,22.74
1938-07-01,6.326,16.94
1938-08-01,5.503,14.74
1938-09-01,5.973,15.48
1938-10-01,5.661,15.16
1938-11-01,5.35,13.87
1938-12-01,6.29,16.85
1939-01-01,8.639,23.14
1939-02-01,39.089,94.56
1939-03-01,55.403,148.39
1939-04-01,42.0,108.86
1939-05-01,14.557,38.99
1939-06-01,9.36,24.26
1939-07-01,7.123,19.08
1939-08-01,5.293,14.18
1939-09-01,5.207,13.5
1939-10-01,4.959,13.28
1939-11-01,5.081,13.17
1939-12-01,6.684,17.9
1940-01-01,28.752,77.01
1940-02-01,16.814,42.13
