date,asuncion,callancas,campoden,capachique,casa_grande,cascas,coina,contumaza,cospan,otuzco,san_benito,sinsicap,sunchubamba,tambo
1982-06-01,23.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,4.0,0.0
1982-07-01,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
1982-08-01,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0
1982-09-01,13.0,4.0,17.0,97.0,0.0,3.0,1.0,16.0,8.0,15.0,2.0,0.0,12.0,1.0
1982-10-01,46.0,3.0,44.0,90.0,1.0,7.0,64.0,21.0,65.0,57.0,8.0,25.0,90.0,7.0
1982-11-01,75.0,82.0,17.0,121.0,3.0,3.0,123.0,22.0,28.0,32.0,8.0,40.0,74.0,2.0
1982-12-01,103.0,19.0,22.0,54.0,2.0,47.0,22.0,73.0,30.0,9.0,39.0,9.0,152.0,10.0
1983-01-01,348.0,155.0,268.0,92.0,46.0,94.0,149.0,191.0,210.0,170.0,43.0,315.0,138.0,68.0
1983-02-01,302.0,143.0,347.0,340.0,64.0,35.0,56.0,669.0,229.0,46.0,117.0,169.0,133.0,42.0
1983-03-01,468.0,948.0,159.0,355.0,7.0,291.0,368.0,301.0,144.0,227.0,93.0,418.0,168.0,37.0
1983-04-01,193.0,18.0,119.0,129.0,6.0,74.0,103.0,221.0,204.0,456.0,210.0,241.0,101.0,69.0
1983-05-01,8.0,51.0,3.0,160.0,0.0,8.0,7.0,0.0,0.0,12.0,15.0,123.0,3.0,9.0
1983-06-01,27.0,0.0,30.0,906.0,0.0,4.0,0.0,14.0,28.0,2.0,8.0,22.0,11.0,1.0
1983-07-01,4.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0
1983-08-01,0.0,0.0,0.0,9.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1983-09-01,4.0,10.0,1.0,45.0,0.0,0.0,1.0,0.0,53.0,7.0,5.0,0.0,1.0,0.0
1983-10-01,13.0,2.0,37.0,139.0,1.0,8.0,12.0,38.0,5.0,4.0,12.0,22.0,103.0,12.0
1983-11-01,116.0,17.0,41.0,48.0,0.0,8.0,65.0,24.0,128.0,29.0,8.0,4.0,37.0,9.0
1983-12-01,98.0,31.0,18.0,83.0,2.0,14.0,132.0,46.0,56.0,5.0,30.0,39.0,117.0,12.0
1984-01-01,229.0,24.0,112.0,15.0,1.0,4.0,15.0,36.0,74.0,50.0,4.0,26.0,136.0,5.0
1984-02-01,161.0,125.0,95.0,326.0,5.0,72.0,182.0,197.0,133.0,83.0,148.0,227.0,186.0,40.0
1984-03-01,451.0,109.0,76.0,255.0,1.0,64.0,174.0,40.0,98.0,51.0,41.0,95.0,155.0,13.0
1984-04-01,48.0,20.0,17.0,258.0,1.0,16.0,100.0,57.0,23.0,44.0,8.0,31.0,74.0,11.0
1984-05-01,30.0,19.0,15.0,120.0,0.0,3.0,6.0,15.0,2.0,15.0,21.0,35.0,30.0,2.0
1984-06-01,34.0,17.0,87.0,99.0,0.0,4.0,0.0,16.0,189.0,9.0,8.0,4.0,35.0,1.0
1984-07-01,0.0,0.0,3.0,0.0,3.0,0.0,0.0,35.0,2.0,0.0,1.0,0.0,3.0,0.0
1984-08-01,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1984-09-01,16.0,3.0,17.0,43.0,0.0,15.0,0.0,20.0,30.0,0.0,1.0,0.0,5.0,0.0
