date,caudal_yonan_m3s,volumen_yonan_mmc
1984-08-01,5.1,13.66
1984-09-01,4.4,11.4
1984-10-01,18.1,48.48
1984-11-01,8.8,22.81
1984-12-01,19.0,50.89
1985-01-01,11.0,29.46
1985-02-01,18.0,43.55
1985-03-01,23.7,63.48
1985-04-01,15.0,38.88
1985-05-01,8.7,23.3
1985-06-01,4.8,12.44
1985-07-01,2.4,6.43
1985-08-01,1.3,3.48
1985-09-01,1.6,4.15
1985-10-01,2.5,6.7
1985-11-01,1.3,3.37
1985-12-01,8.6,23.03
1986-01-01,22.9,61.34
1986-02-01,25.3,61.21
1986-03-01,20.4,54.64
1986-04-01,68.7,178.07
1986-05-01,21.1,56.51
1986-06-01,6.7,17.37
1986-07-01,2.8,7.5
1986-08-01,1.2,3.21
1986-09-01,1.1,2.85
1986-10-01,1.4,3.75
1986-11-01,7.1,18.4
1986-12-01,8.7,23.3
1987-01-01,53.3,142.76
1987-02-01,61.1,147.81
1987-03-01,29.7,79.55
1987-04-01,19.9,51.58
1987-05-01,18.8,50.35
1987-06-01,4.7,12.18
1987-07-01,2.2,5.89
1987-08-01,2.1,5.62
1987-09-01,1.7,4.41
1987-10-01,4.3,11.52
1987-11-01,7.3,18.92
1987-12-01,8.8,23.57
1988-01-01,28.2,75.53
1988-02-01,53.3,133.55
1988-03-01,29.1,77.94
1988-04-01,39.1,101.35
1988-05-01,18.4,49.28
1988-06-01,8.0,20.74
1988-07-01,2.4,6.43
1988-08-01,0.7,1.87
1988-09-01,0.7,1.81
1988-10-01,4.1,10.98
1988-11-01,14.2,36.81
1988-12-01,9.3,24.91
1989-01-01,36.6,98.03
1989-02-01,128.5,310.87
1989-03-01,110.4,295.7
1989-04-01,94.9,245.98
1989-05-01,23.9,64.01
1989-06-01,9.1,23.59
1989-07-01,4.8,12.86
1989-08-01,2.2,5.89
1989-09-01,3.6,9.33
1989-10-01,20.9,55.98
1989-11-01,13.5,34.99
1989-12-01,4.1,10.98
1990-01-01,6.0,16.07
1990-02-01,18.4,44.51
1990-03-01,15.5,41.52
1990-04-01,14.4,37.32
1990-05-01,10.5,28.12
1990-06-01,5.3,13.74
1990-07-01,2.2,5.89
1990-08-01,0.4,1.07
1990-09-01,1.1,2.85
1990-10-01,8.3,22.23
1990-11-01,16.4,42.51
1990-12-01,18.0,48.21
1991-01-01,5.7,15.27
1991-02-01,9.7,23.47
1991-03-01,50.5,135.26
1991-04-01,28.4,73.61
1991-05-01,19.4,51.96
1991-06-01,5.0,12.96
1991-07-01,1.7,4.55
1991-08-01,0.4,1.07
1991-09-01,0.4,1.04
1991-10-01,1.1,2.95
1991-11-01,2.2,5.7
1991-12-01,5.0,13.39
1992-01-01,14.6,39.1
1992-02-01,7.2,18.04
1992-03-01,20.5,54.91
1992-04-01,42.3,109.64
1992-05-01,16.9,45.26
1992-06-01,7.6,19.7
1992-07-01,1.6,4.29
1992-08-01,0.4,1.07
1992-09-01,1.2,3.11
1992-10-01,5.3,14.2
1992-11-01,6.4,16.59
1992-12-01,3.9,10.45
1993-01-01,3.8,10.18
1993-02-01,50.4,121.93
1993-03-01,166.5,445.95
1993-04-01,113.0,292.9
1993-05-01,33.7,90.26
1993-06-01,11.9,30.84
1993-07-01,4.8,12.86
1993-08-01,2.0,5.36
1993-09-01,2.7,7.0
1993-10-01,16.7,44.73
1993-11-01,35.51,92.04
1993-12-01,28.13,75.34
1994-01-01,69.88,187.17
1994-02-01,83.91,203.0
1994-03-01,119.76,320.77
1994-04-01,115.93,300.49
1994-05-01,35.81,95.91
1994-06-01,16.34,42.35
1994-07-01,15.57,41.7
1994-08-01,2.39,6.4
1994-09-01,2.32,6.01
1994-10-01,3.72,9.96
1994-11-01,6.59,17.08
1994-12-01,11.01,29.49
1995-01-01,9.1,24.37
1995-02-01,47.41,114.69
1995-03-01,43.74,117.15
1995-04-01,41.49,107.54
1995-05-01,14.43,38.65
1995-06-01,5.83,15.11
1995-07-01,3.23,8.65
1995-08-01,1.49,3.99
1995-09-01,1.33,3.45
1995-10-01,2.5,6.7
1995-11-01,13.53,35.07
1995-12-01,18.25,48.88
1996-01-01,39.14,104.83
1996-02-01,71.09,178.12
1996-03-01,116.47,311.95
1996-04-01,66.51,172.39
1996-05-01,19.0,50.89
1996-06-01,8.9,23.07
1996-07-01,3.48,9.32
1996-08-01,1.39,3.72
1996-09-01,1.72,4.46
1996-10-01,6.36,17.03
1996-11-01,5.94,15.4
1996-12-01,2.68,7.18
1997-01-01,3.42,9.16
1997-02-01,27.25,65.92
1997-03-01,19.32,51.75
1997-04-01,15.49,40.15
1997-05-01,11.27,30.19
1997-06-01,4.24,10.99
1997-07-01,1.46,3.91
1997-08-01,0.37,0.99
1997-09-01,0.45,1.17
1997-10-01,2.69,7.2
1997-11-01,16.43,42.59
1997-12-01,72.66,194.61
1998-01-01,115.33,308.9
1998-02-01,230.23,556.97
1998-03-01,321.45,860.97
1998-04-01,173.6,449.97
1998-05-01,63.34,169.65
1998-06-01,21.65,56.12
1998-07-01,10.25,27.45
1998-08-01,5.77,15.45
1998-09-01,4.36,11.3
1998-10-01,7.392,19.8
1998-11-01,11.971,31.03
1998-12-01,4.927,13.2
1999-01-01,15.361,41.14
1999-02-01,164.746,398.55
1999-03-01,109.544,293.4
1999-04-01,63.456,164.48
1999-05-01,49.776,133.32
1999-06-01,23.338,60.49
1999-07-01,14.556,38.99
1999-08-01,4.27,11.44
1999-09-01,4.75,12.31
1999-10-01,16.46,44.09
1999-11-01,9.57,24.81
1999-12-01,31.94,85.55
2000-01-01,13.24,35.46
2000-02-01,73.05,183.03
2000-03-01,163.46,437.81
2000-04-01,87.36,226.44
