date,precipitacion_asuncion_mm,precipitacion_chilete_mm,precipitacion_contumaza_mm,precipitacion_granjaporcon_mm,precipitacion_huacraruro_mm,precipitacion_livis_mm,precipitacion_llapa_mm,precipitacion_magdalena_mm,precipitacion_montegrande_mm,precipitacion_quebradahonda_mm,precipitacion_quilcate_mm,precipitacion_sanjuan_mm,precipitacion_talla_mm
1968-09-01,20.3,NA,13.0,117.5,33.8,19.5,60.6,11.8,NA,27.9,136.7,29.3,NA
1968-10-01,79.6,12.5,63.8,158.5,84.9,23.4,102.6,33.7,NA,63.6,76.8,66.5,NA
1968-11-01,NA,1.6,26.0,123.0,87.3,20.6,68.2,12.1,NA,47.5,47.0,47.6,NA
1968-12-01,11.1,6.4,29.4,173.5,92.2,17.1,34.8,29.6,NA,78.6,58.9,68.8,NA
1969-01-01,NA,4.0,25.5,79.5,49.3,14.0,130.8,6.4,NA,15.1,65.5,35.9,NA
1969-02-01,5.9,42.8,99.9,176.9,158.5,46.5,152.2,54.5,NA,74.5,109.4,156.2,NA
1969-03-01,208.2,89.9,186.9,183.0,173.1,97.3,242.0,116.8,NA,137.6,189.9,199.6,NA
1969-04-01,111.2,60.2,72.5,167.5,130.0,36.4,117.7,86.4,NA,31.6,217.7,107.4,NA
1969-05-01,NA,1.2,6.0,18.5,4.4,0.0,27.0,NA,NA,0.0,49.2,1.6,NA
1969-06-01,NA,NA,7.5,64.0,44.1,9.0,0.0,2.3,NA,NA,87.5,18.7,NA
1969-07-01,NA,NA,NA,5.5,9.9,0.0,9.2,NA,NA,NA,15.3,4.6,NA
1969-08-01,NA,NA,NA,15.0,6.0,6.0,14.2,NA,NA,NA,38.8,8.6,NA
1969-09-01,NA,0.6,3.0,42.0,13.6,0.0,12.0,NA,NA,18.0,29.5,3.3,NA
1969-10-01,135.7,9.6,28.4,105.0,110.9,8.5,109.0,18.4,NA,67.6,196.3,57.8,NA
1969-11-01,114.3,13.9,63.9,172.0,132.2,31.3,70.0,34.0,NA,117.7,140.6,126.0,NA
1969-12-01,230.6,7.5,73.7,183.0,229.2,35.4,125.6,60.5,NA,46.5,135.8,162.5,NA
1970-01-01,112.6,24.5,60.7,107.0,208.9,66.1,166.1,34.4,NA,NA,154.0,161.0,NA
1970-02-01,53.1,3.8,35.8,123.5,137.1,26.5,61.3,26.2,NA,NA,92.3,96.4,NA
1970-03-01,56.7,33.1,95.1,140.5,144.3,62.6,118.2,46.6,NA,112.4,86.3,116.9,3.5
1970-04-01,71.7,23.1,89.5,127.0,97.4,72.2,125.3,62.7,NA,85.1,194.8,124.4,29.7
1970-05-01,16.5,11.8,33.6,91.0,35.1,32.3,112.4,33.4,NA,137.6,NA,28.8,4.4
1970-06-01,28.0,3.8,5.0,28.5,28.9,14.6,57.9,10.7,NA,31.6,NA,25.1,2.7
1970-07-01,NA,NA,NA,22.5,10.2,0.0,3.2,NA,NA,0.0,NA,2.2,0.0
1970-08-01,16.9,2.2,6.5,25.0,2.3,0.6,7.4,1.5,NA,11.5,NA,10.8,0.0
1970-09-01,24.5,5.9,15.2,74.0,34.9,19.8,64.2,9.4,NA,6.3,NA,28.6,0.0
1970-10-01,95.9,48.8,68.9,122.5,174.5,50.0,106.2,81.9,NA,125.7,NA,115.6,6.6
1970-11-01,58.6,11.6,14.9,207.0,52.1,11.0,118.4,11.0,NA,116.6,NA,61.4,0.0
1970-12-01,6.3,10.9,17.2,114.5,111.6,26.9,124.8,27.9,NA,137.2,NA,82.8,0.0
1971-01-01,27.6,6.9,22.7,140.0,128.2,34.1,62.9,25.1,NA,201.9,NA,97.7,1.0
1971-02-01,71.1,34.8,75.1,131.0,196.9,43.0,106.0,60.8,NA,115.0,NA,137.1,3.3
1971-03-01,312.4,144.1,283.4,446.5,367.3,274.9,424.8,204.3,NA,342.3,287.1,350.5,34.7
1971-04-01,83.7,31.1,61.7,143.5,189.0,48.9,158.7,46.8,NA,165.2,192.6,148.9,3.8
1971-05-01,6.4,3.0,3.9,117.5,26.8,27.7,18.6,6.2,NA,34.2,7.8,14.0,0.0
1971-06-01,NA,NA,NA,65.0,20.7,6.5,24.3,4.5,NA,30.8,31.8,15.5,0.0
1971-07-01,NA,NA,0.4,72.0,2.6,12.4,18.7,0.9,NA,45.8,8.5,4.9,0.0
1971-08-01,21.4,2.4,7.7,37.5,26.2,4.9,27.2,4.5,NA,22.7,39.7,27.2,0.0
1971-09-01,32.4,1.8,26.3,76.0,55.5,14.7,52.1,8.2,NA,62.3,32.5,39.3,0.0
