date,precipitacion_total_mm,precipitacion_total_mmc
1991-12-01,12.07,36.096
1992-01-01,11.04,33.01
1992-02-01,18.28,54.668
1992-03-01,27.29,81.611
1992-04-01,15.25,45.6
1992-05-01,8.01,23.961
1992-06-01,0.66,1.971
1992-07-01,0.03,0.096
1992-08-01,2.78,8.306
1992-09-01,2.94,8.795
1992-10-01,8.78,26.254
1992-11-01,5.48,16.383
1992-12-01,8.14,24.346
1993-01-01,30.33,90.712
1993-02-01,58.89,176.119
1993-03-01,92.81,277.574
1993-04-01,17.52,52.41
1993-05-01,10.07,30.127
1993-06-01,0.04,0.128
1993-07-01,0.03,0.096
1993-08-01,0.07,0.2
1993-09-01,2.01,6.008
1993-10-01,15.43,46.158
1993-11-01,27.33,81.741
1993-12-01,25.86,77.34
1994-01-01,39.42,117.89
1994-02-01,49.35,147.593
1994-03-01,52.64,157.429
1994-04-01,20.92,62.559
1994-05-01,6.39,19.1
1994-06-01,1.28,3.813
1994-07-01,0.03,0.096
1994-08-01,0.07,0.2
1994-09-01,3.89,11.629
1994-10-01,2.57,7.678
1994-11-01,7.46,22.297
1994-12-01,39.13,117.029
1995-01-01,21.04,62.935
1995-02-01,32.59,97.47
1995-03-01,24.89,74.442
1995-04-01,19.11,57.167
1995-05-01,3.48,10.418
1995-06-01,0.04,0.128
1995-07-01,0.03,0.096
1995-08-01,0.07,0.2
1995-09-01,3.0,8.959
1995-10-01,15.67,46.875
1995-11-01,13.34,39.908
1995-12-01,17.92,53.589
1996-01-01,37.11,110.995
1996-02-01,57.68,172.511
1996-03-01,65.14,194.822
1996-04-01,26.68,79.798
1996-05-01,3.74,11.196
1996-06-01,0.33,0.99
1996-07-01,0.0,0.0
1996-08-01,1.72,5.142
1996-09-01,1.0,2.977
1996-10-01,13.76,41.141
1996-11-01,3.37,10.079
1996-12-01,4.77,14.278
1997-01-01,20.85,62.363
1997-02-01,37.67,112.672
1997-03-01,11.97,35.807
1997-04-01,13.68,40.929
1997-05-01,5.97,17.85
1997-06-01,2.41,7.218
1997-07-01,3.61,10.798
1997-08-01,0.0,0.0
1997-09-01,4.64,13.867
1997-10-01,9.66,28.897
1997-11-01,43.04,128.714
1997-12-01,63.52,189.981
1998-01-01,78.89,235.931
1998-02-01,151.47,453.02
1998-03-01,176.98,529.312
1998-04-01,31.54,94.334
1998-05-01,2.94,8.806
1998-06-01,6.32,18.916
1998-07-01,0.0,0.0
1998-08-01,0.0,0.0
1998-09-01,3.63,10.842
1998-10-01,12.66,37.873
1998-11-01,9.73,29.101
1998-12-01,14.29,42.743
1999-01-01,26.57,79.451
1999-02-01,143.27,428.478
1999-03-01,27.55,82.403
1999-04-01,15.3,45.756
1999-05-01,18.86,56.404
1999-06-01,0.17,0.518
1999-07-01,0.22,0.652
1999-08-01,0.74,2.212
1999-09-01,4.92,14.718
1999-10-01,10.33,30.892
1999-11-01,14.86,44.453
1999-12-01,20.91,62.54
2000-01-01,34.6,103.494
2000-02-01,71.74,214.546
2000-03-01,44.36,132.685
2000-04-01,23.71,70.911
2000-05-01,11.3,33.806
2000-06-01,0.0,0.0
2000-07-01,0.24,0.729
2000-08-01,2.07,6.183
2000-09-01,5.6,16.75
2000-10-01,5.85,17.489
2000-11-01,6.36,19.016
2000-12-01,134.69,402.817
2001-01-01,49.6,148.347
2001-02-01,28.82,86.182
2001-03-01,65.15,194.861
2001-04-01,17.91,53.571
2001-05-01,5.95,17.787
2001-06-01,0.33,0.972
2001-07-01,0.1,0.313
2001-08-01,0.07,0.2
2001-09-01,9.13,27.321
2001-10-01,10.18,30.433
2001-11-01,18.99,56.785
2001-12-01,12.1,36.181
2002-01-01,9.55,28.548
2002-02-01,71.74,214.545
