date,precipitacion_cabanaconde_mm,precipitacion_tisco_mm,precipitacion_huambo_mm,precipitacion_madrigal_mm,precipitacion_chivay_mm,precipitacion_sibayo_mm,precipitacion_chuquibamba_mm,precipitacion_condoroma_mm,precipitacion_crucero_mm,precipitacion_imata_mm,precipitacion_angostura_mm,precipitacion_frayle_mm,precipitacion_pane_mm,precipitacion_caylloma_mm,precipitacion_yanque_mm,precipitacion_calera_mm,precipitacion_sumbay_mm,precipitacion_visuyo_mm,precipitacion_huanca_mm,precipitacion_aplao_mm,precipitacion_pampademajes_mm,precipitacion_porpera_mm,precipitacion_pampadearrieros_mm
1969-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.01,0.01,0.2,0.38,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.02,27.52,0.0
1969-06-01,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.14,0.01,2.3,0.04,0.0,0.6,3.1,1.2,0.0,0.0,1.0,0.0,0.0,2.96,41.24,0.0
1969-07-01,0.0,0.0,0.0,0.01,0.0,1.6,0.0,0.1,3.11,2.4,0.1,0.0,0.8,2.9,2.6,2.2,0.0,6.0,0.0,0.0,0.0,4.61,0.0
1969-08-01,0.0,0.0,0.0,0.2,0.5,5.5,0.0,0.18,0.0,1.7,0.16,0.2,2.3,2.9,1.0,6.32,0.04,2.5,0.0,0.0,0.0,59.1,0.0
1969-09-01,0.0,0.0,2.9,1.31,5.1,16.7,0.0,1.42,16.11,9.6,1.31,1.31,13.8,10.3,3.0,11.4,0.0,16.0,0.0,0.0,0.0,82.62,0.0
1969-10-01,0.0,4.0,0.0,0.0,0.31,21.3,0.0,18.16,9.73,5.4,14.82,1.2,12.1,28.4,2.0,16.1,0.0,10.5,0.0,0.0,0.0,19.2,0.0
1969-11-01,25.54,60.8,23.64,33.61,42.82,42.2,0.0,81.64,68.21,50.9,50.57,22.41,64.9,89.2,28.5,8.38,17.21,42.0,0.9,0.0,0.0,91.61,4.7
1969-12-01,44.85,97.7,66.45,55.3,73.3,82.6,28.43,90.6,89.2,88.5,152.43,52.22,105.7,119.2,67.0,42.79,47.1,109.5,14.0,1.52,2.91,242.41,32.6
1970-01-01,147.22,139.56,50.1,93.73,119.8,144.5,105.34,152.59,130.5,141.6,206.8,106.91,183.7,208.8,131.8,97.18,116.4,209.0,27.53,7.53,0.0,251.2,45.3
1970-02-01,86.0,150.53,96.5,95.9,81.9,131.9,40.85,84.11,105.5,87.3,214.1,73.22,171.4,216.4,76.9,152.47,76.93,190.01,24.81,2.8,1.91,151.4,34.9
1970-03-01,81.51,138.51,69.34,105.62,109.0,138.6,14.82,122.89,170.0,130.1,168.8,84.8,130.8,164.1,150.9,77.61,114.05,140.05,0.34,0.01,0.3,151.9,38.3
1970-04-01,1.21,22.35,26.1,4.21,8.1,11.2,2.0,28.21,15.2,9.6,27.3,1.35,27.0,31.1,1.3,29.62,0.0,15.58,0.0,0.0,0.0,25.7,0.0
1970-05-01,1.61,9.54,4.91,6.6,14.8,25.2,0.01,18.37,13.1,22.6,13.2,0.7,12.0,10.5,8.7,2.64,0.03,22.5,0.0,0.01,0.14,17.1,0.0
1970-06-01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.5,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.9,0.0
1970-07-01,0.0,1.01,0.02,0.0,0.0,0.0,0.0,0.49,0.9,0.3,2.1,0.0,0.0,5.0,1.2,0.02,0.0,11.0,0.0,0.0,0.0,0.85,0.0
1970-08-01,0.0,1.1,0.01,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,1.7,2.0,0.0,2.55,0.0,4.0,0.0,0.0,0.0,8.62,0.0
1970-09-01,0.02,35.61,0.26,0.01,11.71,24.6,0.02,5.69,3.42,4.7,36.1,0.0,23.3,34.93,3.9,0.03,0.07,24.55,0.0,0.0,0.0,68.31,0.0
1970-10-01,11.71,5.1,6.55,13.11,19.7,28.3,13.3,12.71,13.9,6.1,35.61,2.7,26.2,29.61,17.2,7.95,5.7,41.42,0.4,0.0,0.01,53.7,6.9
1970-11-01,12.21,4.71,0.04,5.1,3.31,3.11,0.0,14.94,14.31,0.9,20.0,0.84,9.1,23.4,5.6,11.82,0.01,15.62,0.0,0.0,0.02,26.91,0.0
1970-12-01,18.07,146.82,16.6,34.01,51.3,84.4,0.0,138.61,59.94,53.4,208.9,27.3,136.3,144.42,48.8,109.98,18.33,102.02,5.71,0.0,0.3,236.73,14.3
1971-01-01,101.87,139.95,63.4,104.13,104.42,143.91,59.32,198.43,62.01,135.0,156.6,79.1,131.4,119.22,120.6,185.97,96.22,124.12,26.75,3.1,1.2,172.96,77.1
1971-02-01,114.12,183.52,62.82,106.41,77.0,110.52,17.22,128.05,97.4,154.1,293.8,64.4,206.3,250.1,102.3,64.15,75.51,147.41,9.94,0.0,0.0,272.41,40.5
