date,precipitacion_la_raya_mm,precipitacion_llalli_mm,precipitacion_macusani_mm,precipitacion_sicuani_mm,precipitacion_ccatcca_mm,precipitacion_granja_kayra_mm,precipitacion_paruro_mm,precipitacion_paucartambo_mm,precipitacion_pisac_mm,precipitacion_pomacanchi_mm,precipitacion_urubamba_mm,precipitacion_cirialo_mm,precipitacion_curahuasi_mm,precipitacion_machupicchu_mm,precipitacion_quillabamba_mm,precipitacion_vilcabamba_mm,precipitacion_la_quebrada_mm,precipitacion_huyro_mm,precipitacion_chontachaca_mm,precipitacion_pakitza_mm,precipitacion_quincemil_mm
1974-10-01,38.0,17.0,0.0,23.0,20.4,43.3,49.2,0.0,12.9,31.0,26.0,38.4,11.8,177.9,56.6,126.0,125.0,114.8,583.0,217.0,689.6
1974-11-01,87.0,34.0,0.0,63.0,17.4,60.9,97.7,0.0,14.0,87.0,44.8,70.0,17.6,79.2,41.5,166.0,87.0,66.6,551.0,279.0,356.4
1974-12-01,132.0,144.0,41.0,117.0,96.2,108.0,83.9,44.2,60.1,189.0,111.2,130.2,30.3,142.3,75.0,185.0,145.0,189.6,555.0,153.0,767.8
1975-01-01,110.0,169.0,53.0,171.0,143.0,124.7,158.7,132.7,68.4,115.0,100.6,162.6,26.6,268.1,155.3,69.0,238.0,329.2,546.0,53.0,658.7
1975-02-01,147.0,136.0,153.0,116.0,202.2,131.0,187.8,108.3,84.7,146.0,157.7,431.2,42.4,368.4,271.1,147.0,180.0,426.9,654.0,183.0,767.5
1975-03-01,166.0,122.0,41.0,148.0,85.1,55.3,116.8,57.5,70.9,118.0,38.2,149.2,59.6,308.8,167.9,183.0,196.0,248.0,853.0,235.0,757.0
1975-04-01,58.0,18.0,5.0,50.0,38.8,66.8,56.2,26.1,39.7,149.0,69.0,129.2,30.6,148.1,77.9,109.0,206.0,219.7,705.0,405.0,497.4
1975-05-01,16.0,32.0,45.0,31.0,19.6,22.5,30.1,31.4,40.1,55.0,35.0,29.4,4.7,124.4,48.5,70.0,100.0,107.7,450.0,319.0,401.5
1975-06-01,0.0,0.0,0.0,11.0,2.4,0.7,4.2,6.9,9.0,23.0,14.9,13.2,2.0,86.2,15.2,2.0,46.0,70.0,379.0,126.0,490.6
1975-07-01,0.0,0.0,5.0,5.0,1.0,0.3,0.0,6.2,5.0,71.0,8.8,35.2,1.3,22.2,7.0,2.0,79.0,56.1,572.0,131.0,377.5
1975-08-01,1.0,2.0,3.0,19.0,8.2,0.6,2.0,24.5,5.0,7.0,22.5,0.0,4.8,42.4,18.0,13.0,6.0,101.2,121.0,20.0,315.0
