date,caudal_aguas_calientes_m3_s,volumen_aguas_calientes_mmc
1973-10-01,0.51,1.366
1973-11-01,0.51,1.3219
1973-12-01,0.51,1.366
1974-01-01,1.48,3.964
1974-02-01,2.27,5.4916
1974-03-01,2.62,7.0174
1974-04-01,0.72,1.8662
1974-05-01,0.74,1.982
1974-06-01,0.66,1.7107
1974-07-01,0.74,1.982
1974-08-01,0.7,1.8749
1974-09-01,0.59,1.5293
1974-10-01,0.61,1.6338
1974-11-01,0.65,1.6848
1974-12-01,0.56,1.4999
1975-01-01,1.31,3.5087
1975-02-01,2.46,5.9512
1975-03-01,2.87,7.687
1975-04-01,1.02,2.6438
1975-05-01,0.82,2.1963
1975-06-01,0.72,1.8662
1975-07-01,0.71,1.9017
1975-08-01,0.64,1.7142
1975-09-01,0.62,1.607
1975-10-01,0.59,1.5803
1975-11-01,0.91,2.3587
1976-01-01,1.14,3.0534
1976-02-01,3.26,8.1683
1976-03-01,3.89,10.419
1976-04-01,0.99,2.5661
1976-05-01,0.88,2.357
1976-06-01,0.82,2.1254
1976-07-01,0.76,2.0356
1976-08-01,0.74,1.982
1976-09-01,0.66,1.7107
1976-10-01,0.62,1.6606
1976-11-01,0.65,1.6848
1976-12-01,0.62,1.6606
1977-01-01,0.97,2.598
1977-02-01,2.68,6.4835
1977-03-01,3.89,10.419
1977-04-01,0.99,2.5661
1977-05-01,0.88,2.357
1977-06-01,0.82,2.1254
1977-07-01,0.76,2.0356
1977-08-01,0.79,2.1159
1977-09-01,0.67,1.7366
1977-10-01,0.66,1.7677
1977-11-01,0.64,1.6589
1977-12-01,0.62,1.6606
1978-01-01,0.97,2.598
1978-02-01,1.7,4.1126
1978-03-01,0.7,1.8749
1978-04-01,0.67,1.7366
1978-05-01,0.63,1.6874
1978-06-01,0.67,1.7366
1978-07-01,0.62,1.6606
1978-08-01,0.6,1.607
1978-09-01,0.57,1.4774
1978-10-01,0.54,1.4463
1978-11-01,0.54,1.3997
1978-12-01,0.57,1.5267
1979-01-01,0.68,1.8213
1979-02-01,0.56,1.3548
