date,caudal_antapucro_m3s,volumen_antapucro_mmc,caudal_manchay_m3s,volumen_manchay_mmc
1993-10-01,0.96,2.57,1.225,3.28
1993-11-01,2.944,7.63,3.394,8.8
1993-12-01,5.761,15.43,6.458,17.3
1994-01-01,13.583,36.38,13.731,36.78
1994-02-01,13.996,33.86,14.872,35.98
1994-03-01,14.158,37.92,15.976,42.79
1994-04-01,7.659,19.85,9.087,23.55
1994-05-01,2.666,7.14,3.316,8.88
1994-06-01,0.852,2.21,0.939,2.43
1994-07-01,0.238,0.64,0.056,0.15
1994-08-01,0.181,0.48,0.164,0.44
1994-09-01,0.6,1.56,0.522,1.35
1994-10-01,0.232,0.62,0.062,0.17
1994-11-01,0.838,2.17,1.098,2.85
1994-12-01,3.724,9.97,3.964,10.62
1995-01-01,7.064,18.92,7.405,19.83
1995-02-01,5.873,14.21,6.278,15.19
1995-03-01,9.368,25.09,9.785,26.21
1995-04-01,5.189,13.45,6.037,15.65
1995-05-01,1.609,4.31,2.181,5.84
1995-06-01,0.629,1.63,0.647,1.68
1995-07-01,0.325,0.87,0.286,0.77
1995-08-01,0.034,0.09,0.0,0.0
1995-09-01,0.369,0.96,0.532,1.38
1995-10-01,0.34,0.91,0.38,1.02
1995-11-01,2.912,7.55,2.505,6.49
1995-12-01,3.764,10.08,3.895,10.43
1996-01-01,8.914,23.88,9.528,25.52
1996-02-01,12.741,31.92,13.515,33.86
1996-03-01,14.042,37.61,15.458,41.4
1996-04-01,7.44,19.28,9.1,23.59
1996-05-01,2.477,6.63,3.133,8.39
1996-06-01,0.696,1.8,1.079,2.8
1996-07-01,0.212,0.57,0.219,0.59
1996-08-01,0.076,0.2,0.0,0.0
1996-09-01,0.196,0.51,0.0,0.0
1996-10-01,0.636,1.7,0.386,1.03
1996-11-01,0.629,1.63,0.668,1.73
1996-12-01,1.563,4.19,1.574,4.22
1997-01-01,5.666,15.18,5.813,15.57
1997-02-01,8.597,20.8,8.594,20.79
1997-03-01,4.69,12.56,5.161,13.82
1997-04-01,2.099,5.44,2.636,6.83
1997-05-01,0.605,1.62,1.106,2.96
1997-06-01,0.3,0.78,0.516,1.34
1997-07-01,0.197,0.53,0.021,0.06
1997-08-01,0.218,0.58,0.0,0.0
1997-09-01,0.623,1.61,0.646,1.67
1997-10-01,1.43,3.83,1.628,4.36
1997-11-01,1.973,5.11,2.026,5.25
1997-12-01,8.826,23.64,8.76,23.46
1998-01-01,15.363,41.15,15.777,42.26
1998-02-01,19.441,47.03,20.549,49.71
1998-03-01,22.602,60.54,24.427,65.43
1998-04-01,8.384,21.73,10.207,26.46
1998-05-01,2.537,6.8,3.782,10.13
1998-06-01,0.785,2.03,1.26,3.27
1998-07-01,0.316,0.85,0.216,0.58
1998-08-01,0.078,0.21,0.006,0.02
1998-09-01,0.097,0.25,0.143,0.37
1998-10-01,0.248,0.66,0.0,0.0
1998-11-01,0.391,1.01,0.105,0.27
1998-12-01,4.669,12.51,4.304,11.53
1999-01-01,8.016,21.47,8.345,22.35
1999-02-01,25.102,60.73,24.783,59.96
