date,caudal_m3_s,volumen_mmc
1971-01-01,15.644,41.9008896
1971-02-01,25.76,62.31859200000001
1971-03-01,17.417,46.6496928
1971-04-01,11.175,28.9656
1971-05-01,11.103,29.7382752
1971-06-01,11.758,30.476735999999992
1971-07-01,10.433,27.9437472
1971-08-01,10.78,28.873152
1971-09-01,10.052,26.054784
1971-10-01,9.843,26.363491199999995
1971-11-01,9.351,24.237792000000002
1971-12-01,7.697,20.615644800000002
1972-01-01,9.924,26.5804416
1972-02-01,23.507,58.89913920000001
1972-03-01,44.015,117.88977599999998
1972-04-01,20.666,53.566272
1972-05-01,11.539,30.906057599999997
1972-06-01,12.169,31.542048
1972-07-01,14.16,37.926144
1972-08-01,13.558,36.3137472
1972-09-01,12.042,31.212864
1972-10-01,12.554,33.6246336
1972-11-01,12.392,32.120064
1972-12-01,12.519,33.5308896
1973-01-01,2.828,7.5745152
1973-02-01,1.445,3.495744
1973-03-01,1.775,4.75416
1973-04-01,0.0,0.0
1973-05-01,0.0,0.0
1973-06-01,0.0,0.0
1973-07-01,0.0,0.0
1973-08-01,0.0,0.0
1973-09-01,0.0,0.0
1973-10-01,1.726,4.6229184000000005
1973-11-01,3.653,9.468576
1973-12-01,7.407,19.838908800000002
1974-01-01,14.749,39.5037216
1974-02-01,17.878,43.250457600000004
1974-03-01,9.435,25.270704
1974-04-01,6.708,17.387136
1974-05-01,5.482,14.6829888
1974-06-01,4.695,12.169440000000002
1974-07-01,0.685,1.8347040000000006
1974-08-01,0.831,2.2257504
1974-09-01,3.02,7.827839999999999
1974-10-01,5.56,14.891903999999998
1974-11-01,5.267,13.652064000000001
1974-12-01,5.141,13.769654400000002
1975-01-01,7.07,18.936288
1975-02-01,16.521,39.967603200000006
1975-03-01,11.087,29.695420799999997
1975-04-01,3.35,8.6832
1975-05-01,4.032,10.7993088
1975-06-01,4.485,11.625120000000003
1975-07-01,3.219,8.6217696
1975-08-01,2.231,5.9755104
1975-09-01,1.29,3.3436800000000004
1975-10-01,0.7,1.8748799999999997
1975-11-01,2.506,6.495551999999999
1975-12-01,5.79,15.507936
1976-01-01,2.735,7.325424
1976-02-01,0.0,0.0
1976-03-01,0.0,0.0
1976-04-01,0.0,0.0
1976-05-01,0.0,0.0
1976-06-01,4.05,10.4976
1976-07-01,6.472,17.334604799999997
1976-08-01,6.17,16.525728
1976-09-01,7.974,20.668608
1976-10-01,5.926,15.872198400000002
1976-11-01,1.703,4.414176
1976-12-01,2.974,7.9655616
1977-01-01,4.17,11.168928000000001
1977-02-01,1.184,2.8643328
1977-03-01,0.0,0.0
1977-04-01,0.0,0.0
1977-05-01,2.557,6.8486688
1977-06-01,5.5,14.256
1977-07-01,6.0,16.0704
1977-08-01,5.308,14.2169472
1977-09-01,7.864,20.383488
1977-10-01,6.76,18.105984
1977-11-01,4.012,10.399103999999998
1977-12-01,0.0,0.0
1978-01-01,0.305,0.816912
1978-02-01,0.0,0.0
1978-03-01,0.0,0.0
1978-04-01,0.0,0.0
1978-05-01,0.79,2.115936
1978-06-01,5.429,14.071968
1978-07-01,5.609,15.023145599999998
1978-08-01,5.91,15.829344
1978-09-01,5.898,15.287615999999998
1978-10-01,4.538,12.154579199999999
1978-11-01,3.254,8.434368
1978-12-01,0.019,0.0508896
1979-01-01,7.027,18.821116800000002
1979-02-01,3.605,8.721216
1979-03-01,5.979,16.0141536
1979-04-01,3.646,9.450432
1979-05-01,1.135,3.039984
1979-06-01,1.03,2.66976
1979-07-01,1.004,2.6891136
1979-08-01,1.026,2.7480384000000004
1979-09-01,2.99,7.7500800000000005
1979-10-01,4.295,11.503728000000002
1979-11-01,4.498,11.658816
1979-12-01,4.622,12.379564799999999
1980-01-01,4.204,11.2599936
1980-02-01,3.468,8.6894208
1980-03-01,0.842,2.2552128
1980-04-01,0.543,1.4074560000000003
1980-05-01,0.0,0.0
1980-06-01,0.0,0.0
1980-07-01,0.0,0.0
1980-08-01,1.819,4.872009599999999
1980-09-01,2.239,5.803488
1980-10-01,3.906,10.4618304
1980-11-01,3.018,7.822656
1980-12-01,4.855,13.003632000000003
1981-01-01,7.238,19.386259199999998
1981-02-01,18.433,44.5931136
1981-03-01,10.82,28.980288
1981-04-01,7.626,19.766592
1981-05-01,2.666,7.1406144
1981-06-01,4.903,12.708575999999999
1981-07-01,5.267,14.1071328
1981-08-01,5.39,14.436576
1981-09-01,5.228,13.550976
1981-10-01,5.045,13.512528000000001
1981-11-01,4.93,12.778559999999999
1981-12-01,4.922,13.1830848
1982-01-01,11.691,31.313174400000005
1982-02-01,4.02,9.725183999999999
1982-03-01,6.856,18.3631104
1982-04-01,5.3,13.7376
1982-05-01,2.244,6.0103296
1982-06-01,2.051,5.316192
1982-07-01,2.132,5.710348800000001
1982-08-01,4.665,12.494736
1982-09-01,5.626,14.582592
1982-10-01,5.772,15.4597248
1982-11-01,6.193,16.052256
1982-12-01,4.497,12.0447648
1983-01-01,5.406,14.479430399999998
1983-02-01,3.914,9.4687488
1983-03-01,4.305,11.530511999999998
1983-04-01,1.48,3.8361599999999996
1983-05-01,1.433,3.8381472000000003
1983-06-01,0.268,0.6946560000000002
1983-07-01,0.0,0.0
1983-08-01,0.0,0.0
1983-09-01,0.0,0.0
1983-10-01,0.0,0.0
1983-11-01,0.0,0.0
1983-12-01,0.0,0.0
1984-01-01,3.924,10.5100416
1984-02-01,5.986,14.998521599999998
1984-03-01,5.333,14.283907200000002
1984-04-01,4.235,10.977120000000001
