date,caudal_rio_huaura_alco_sayan_m3s,volumen_rio_huaura_alco_sayan_mmc,caudal_natural_rio_huaura_alco_sayan_m3s,volumen_natural_rio_huaura_alco_sayan_mmc,caudal_rio_chico_m3s,volumen_rio_chico_mmc,caudal_rio_pativilca_yanapampa_m3s,volumen_rio_pativilca_yanapampa_mmc,caudal_rio_chancay_huaral_santo_domingo_m3s,volumen_rio_chancay_huaral_santo_domingo_mmc,caudal_laguna_surasaca_m3s,volumen_laguna_surasaca_mmc
1979-08-01,11.0,29.4624,7.5,20.088,1.4,3.7498,14.9,39.9082,4.8,12.8563,1.523,4.0792
1979-09-01,11.7,30.3264,10.0,25.92,0.9,2.3328,14.4,37.3248,3.9,10.1088,1.546,4.0072
1979-10-01,13.4,35.8906,12.9,34.5514,0.4,1.0714,16.1,43.1222,3.8,10.1779,1.03,2.7588
1979-11-01,12.0,31.104,11.3,29.2896,0.5,1.296,17.9,46.3968,4.0,10.368,0.313,0.8113
1979-12-01,14.3,38.3011,13.4,35.8906,0.4,1.0714,25.7,68.8349,4.6,12.3206,0.411,1.1008
1980-01-01,33.6,89.9942,42.6,114.0998,0.8,2.1427,58.6,156.9542,18.9,50.6218,0.549,1.4704
1980-02-01,32.6,81.6826,34.7,86.9443,1.1,2.7562,62.2,155.8483,9.9,24.8054,0.0,0.0
1980-03-01,35.5,95.0832,37.6,100.7078,3.7,9.9101,48.5,129.9024,19.9,53.3002,0.0,0.0
1980-04-01,29.4,76.2048,31.0,80.352,1.8,4.6656,43.4,112.4928,14.8,38.3616,0.0,0.0
1980-05-01,11.5,30.8016,12.2,32.6765,0.7,1.8749,16.4,43.9258,6.5,17.4096,0.282,0.7553
1980-06-01,7.5,19.44,7.0,18.144,1.1,2.8512,13.1,33.9552,6.2,16.0704,0.0,0.0
1980-07-01,8.2,21.9629,7.6,20.3558,1.1,2.9462,11.2,29.9981,4.1,10.9814,0.31,0.8303
1980-08-01,7.4,19.8202,5.8,15.5347,0.9,2.4106,10.1,27.0518,3.9,10.4458,0.606,1.6231
